nome,issn,qualis,h_index,h_2021,h_2022,fonte
REVISTA COMUNICA├ç├âO MIDI├üTICA (ONLINE),22368000,B1,,,,
GAL├üXIA (S├âO PAULO. ONLINE),19822553,A1,,,,
BRAZILIAN JOURNALISM RESEARCH (ONLINE),19819854,A1,8,9,8,compos.org.br (Google Scholar 2021/2022)
Revista Espa├ºo Acad├¬mico (UEM),15196186,B1,,,,
"Revista LIS - Letra, Imagen, Sonido",18518931,,,,,
"COMUNICACAO, MIDIA E CONSUMO (ONLINE)",19837070,A3,7,8,7,compos.org.br (Google Scholar 2021/2022)
F@RO (VALPARA├ìSO. EN L├ìNEA),07184018,,,,,
LUMINA (JUIZ DE FORA),15160785,A3,7,6,7,compos.org.br (Google Scholar 2021/2022)
Revista Observat├│rio,24474266,A2,,,,
COMUNICA├ç├âO E SOCIEDADE,21833575,A1,,,,
REVISTA DEBATES (UFRGS),19825269,A2,,,,
REVISTA EXTRAPRENSA,22363467,A2,7,6,7,compos.org.br (Google Scholar 2021/2022)
REVISTA FEMINISMOS,23172932,A2,,,,
REVISTA IMAGOFAGIA,18529550,A3,,,,
REVISTA LATINA DE COMUNICACI├ôN SOCIAL,11385820,A1,,,,compos.org.br (Google Scholar 2021/2022)
REVISTA PESQUISA EM FOCO EM EDUCA├ç├âO E FILOSOFIA,19833946,A2,,,,
REVISTA ├üRTEMIS,18078214,A2,,,,
RUA. REVISTA UNIVERSIT├üRIA DO AUDIOVISUAL,19833725,B4,,,,
Radiofonias - Revista de Estudos de R├ídio e M├¡dia Sonora,26758067,A3,,,,
Red Chilena de Estudiantes de Ciencia Pol├¡tica,07192096,,,,,
Revista ABPN,21772770,A3,,,,
Revista Agenda Pol├¡tica,23188499,A2,,,,
Revista Alterjor,21761507,A3,6,5,6,compos.org.br (Google Scholar 2021/2022)
Revista Brasileira de Hist├│ria da M├¡dia (RBHM),22383913,A3,,,,
Revista Cambiassu,21765113,A4,,,,compos.org.br (Google Scholar 2021/2022)
Revista Conex├úo UEPG,18086578,A2,,,,
Revista Conex├úo UEPG,22387315,A2,,,,
Revista Contempor├ónea (UERJ. Online),18060498,A3,,,,
Revista Culturas Midi├íticas,27639398,B1,,,,
Revista Eco-P├│s (Online),21758689,A2,,,,
Revista Educa├º├úo e Transforma├º├úo Social,23595434,A4,,,,
Revista Estudos de Jornalismo,21827044,B2,,,,
Revista Extraprensa,22363467,A2,7,6,7,compos.org.br (Google Scholar 2021/2022)
Revista FAMECOS (Online),19803729,A1,13,13,13,compos.org.br (Google Scholar 2021/2022)
Revista Hist├│ria Catarina,19801637,A4,,,,
"Revista Internacional de Comunicaci├│n Audiovisual, Publicidad y Literatura",1989600X,A3,,,,compos.org.br (Google Scholar 2021/2022)
Revista Latinoamericana de Ciencias de la Comunicaci├│n,18073026,A3,,,,
Revista Media├º├Áes (UEL),14140543,A2,,,,
Revista Observat├│rio,22474266,A2,,,,
Revista Passagens,21799938,B1,,,,compos.org.br (Google Scholar 2021/2022)
Revista Pol├¡tica e Sociedade,21757984,A3,,,,
Revista Tr├¡ade,23785394,,,,,
Revista Uninter de Comunica├º├úo,23579870,B2,,,,compos.org.br (Google Scholar 2021/2022)
Revista da ABRALIN,16781805,A2,,,,
Revista de Comunica├º├úo,19828675,B1,,,,
Revista de Letras,21795282,A3,,,,
Revista debates (UFRGS),19825269,A2,,,,
Revista do Segundo Semin├írio de Ciberjornalismo,21794529,,,,,
SESS├òES DO IMAGIN├üRIO (ONLINE),19803710,B1,,,,
SUR LE JORNALISME,22950729,A3,,,,
"Sur le journalisme, About journalism, Sobre jornalismo",22950729,A3,7,4,7,compos.org.br (Google Scholar 2021/2022)
TELLUS (UCDB),23591943,A4,,,,
TecCom Studies,21736588,,,,,
Tellus,23591943,A4,,,,
Teoria,22360107,A4,,,,
Travessias (UNIOESTE. Online),19825935,A4,,,,
UNINTER,23579870,B2,,,,
UNINTER DE COMUNICA├ç├âO,35579870,B2,,,,compos.org.br (Google Scholar 2021/2022)
Usabilidade e tend├¬ncias no webjornalismo Imperatriz Not├¡cias,21794529,,,,,
VOZES,22374531,B1,,,,
Vozes e Di├ílogo,22374531,B1,,,,
Zanzal├í,22368191,B1,,,,
├ümbitos (Sevilla),11391979,A1,,,,
REVISTA ESTUDOS UNIVERSIT├üRIOS,21775788,B1,,,,
AGENDA POL├ìTICA,23188499,A2,,,,
ANU├üRIO UNESCO / METODISTA DE COMUNICA├ç├âO REGIONAL,21760934,B1,,,,compos.org.br (Google Scholar 2021/2022)
ARAC├è - DIREITOS HUMANOS EM REVISTA,23582472,B1,,,,
