nome,issn,qualis,h_index
FRAGMENTOS DE CULTURA (GOI├éNIA),14149494,A1,
HEALTH COMMUNICATION,10410236,A1,
INTER-A├ç├âO (UFG. ONLINE),19818416,A2,
INTERCOM (S├âO PAULO. IMPRESSO),18095844,A1,11
INTERCOM (S├úo Paulo),01026453,A1,11
INTERFACES DA EDUCA├ç├âO,21777691,A2,
Iniciacom: revista brasileira de iniciacao cientifica em comunicacao social,19803494,B2,1
Intercom Nordeste: quem tem medo da pesquisa Emp├¡rica 2011,2177790X,A1,
International Journal of Communication,19328036,A1,
International Journal of the Book,14479516,,
Investigaci├│n y Desarrollo (Barranquilla),01213261,A2,
Kwanissa: Revista de Estudos Africanos e Afro-Brasileiros,25951033,B3,
"LINGUAGENS : REVISTA DE LETRAS, ARTES E COMUNICA├ç├âO (FURB)",19819943,B2,
La Trama de La Comunicaci├│n,23142634,B1,
La trama de la comunicaci├│n,23142634,B1,
Leituras do Jornalismo,23578289,,
Liinc em Revista,18083536,A1,
Logos (UERJ. Impresso),01049933,A4,
L├¡bero,25253166,A4,
MATRIZES (ONLINE),19828160,A1,14
MATRIZES (USP. IMPRESSO),19822073,A1,14
MIDIA E COTIDIANO,2172602X,A2,7
MOSAICO (RIO DE JANEIRO),21768943,A4,
MOVENDO IDEIAS,26753162,A4,
Matrizes (USP. Impresso),19822073,A1,14
Movendo Id├®ias (UNAMA),1517199X,A4,
M├ís Poder Local,21720223,B1,
M├¡dia e Cotidiano,2178702X,A2,
Observat├│rio,24474266,A2,
Outros Tempos (Online),18088031,A4,
P2P e Inova├º├úo,23587814,A2,
PORTO DAS LETRAS,24480819,B1,
Paradoxos,25255568,B3,
Paran├í Eleitoral,14147866,B4,
Portuguese Literary,1521804X,,
Publizistik,00334006,A4,
P├ígina de Debate: Quest├Áes de Linguistica e de Linguagem,19845227,,
RECIAL,2718658X,,
RELACult - Revista Latino-Americana de Estudos em Cultura e Sociedade,25257870,A3,
REVISTA BRASILEIRA DE CI├èNCIA POL├ìTICA,21784884,A1,
REVISTA BRASILEIRA DE COMUNICA├ç├âO ORGANIZACIONAL E RELA├ç├òES P├ÜBLICAS,22382593,A2,
REVISTA BRASILEIRA DE ESTUDOS DA M├ìDIA,29661331,B4,
REVISTA COMUNICANDO,21824037,A4,
REVISTA CONTEMPOR├éNEA (UERJ. ONLINE),18060498,A3,
REVISTA DE CI├èNCIAS HUMANAS UFV,22365176,A4,
REVISTA DE GEOPOLITICA,21773246,,
REVISTA DE LA ASOCIACI├ôN ESPA├æOLA DE INVESTIGACI├ôN DE LA COMUNICACI├ôN,23412690,A2,
